Episode,Env_1_Reward,Env_2_Reward,Env_3_Reward
0,16.0,-89.83493300721256,210.0
1,37.0,-236.39689173558256,105.0
2,21.0,-240.3491567911595,130.0
3,55.0,-204.7665562452516,90.0
4,10.0,-57.923420833352836,80.0
5,20.0,-153.46297606619146,50.0
6,15.0,-119.72576424705909,395.0
7,15.0,-123.06481232363592,100.0
8,31.0,-139.3352848435121,150.0
9,16.0,-320.57237628819075,75.0
10,10.0,-331.06782545954155,170.0
11,25.0,-254.5254421642895,105.0
12,20.0,-212.30217832301724,90.0
13,18.0,-92.92629518296216,120.0
14,14.0,-97.14337960035566,155.0
15,29.0,-156.9323755160575,145.0
16,15.0,-133.59399661998606,325.0
17,18.0,-69.79815092257822,110.0
18,20.0,-152.3781997371288,210.0
19,9.0,-106.22651455173016,110.0
20,26.0,-387.989081075282,120.0
21,13.0,23.822783384625666,225.0
22,17.0,-96.43848428662476,65.0
23,26.0,-119.18244963020352,215.0
24,17.0,-291.69668679400263,215.0
25,17.0,-203.83086479446183,85.0
26,14.0,-469.92535893463116,20.0
27,11.0,-490.8908375610126,30.0
28,15.0,-282.7671033064379,220.0
29,12.0,-147.4185412347864,45.0
30,31.0,-374.68032428370475,155.0
31,17.0,-83.21043561382416,180.0
32,12.0,-304.54496222882295,55.0
33,16.0,-289.4222130016283,270.0
34,11.0,-182.52152805578635,155.0
35,17.0,-91.8641968166727,90.0
36,11.0,-402.79619927837564,60.0
37,11.0,-236.225749282646,20.0
38,11.0,-461.1032690695319,80.0
39,21.0,-132.9624226510224,155.0
40,15.0,-325.9031419821518,495.0
41,19.0,-325.58901536186397,80.0
42,22.0,-218.04369589357952,80.0
43,27.0,-185.68747573052252,160.0
44,30.0,-220.6675561916748,45.0
45,13.0,-238.2049521538896,10.0
46,10.0,-216.5538546483194,255.0
47,21.0,-163.54966371588,60.0
48,10.0,-74.54832966727258,80.0
49,15.0,-126.87059943945127,310.0
50,36.0,-254.72495220334034,60.0
51,12.0,-425.621559406243,155.0
52,25.0,-262.5192575096812,135.0
53,21.0,-470.8548956938391,180.0
54,19.0,-212.24871573506888,125.0
55,24.0,-512.3988394311018,360.0
56,15.0,-147.50642664812753,55.0
57,22.0,-202.21953809445444,170.0
58,24.0,-38.073024756871895,45.0
59,57.0,-47.08374327358557,185.0
60,20.0,-56.6362132484349,110.0
61,20.0,-375.1507044056479,210.0
62,40.0,-264.26132801461307,210.0
63,35.0,-294.20840905818534,140.0
64,53.0,-160.02639420817735,35.0
65,16.0,-104.27365844764847,505.0
66,62.0,-464.5297982454203,90.0
67,31.0,-134.11994748607304,230.0
68,14.0,7.3767651067326625,165.0
69,44.0,-191.2615705636038,95.0
70,30.0,-170.5176711980884,155.0
71,43.0,-92.93208140341372,105.0
72,19.0,-323.14690464896404,80.0
73,21.0,-404.26374948393936,145.0
74,18.0,-162.44578598227827,30.0
75,17.0,-77.95823152271929,305.0
76,22.0,-467.1892609989085,110.0
77,63.0,-12.991165964423374,120.0
78,39.0,-139.7825259882051,155.0
79,43.0,-58.03731833466743,180.0
80,29.0,-308.13660691912185,85.0
81,38.0,-144.4043425801038,110.0
82,36.0,-114.20961648702945,40.0
83,29.0,-221.5612840735595,105.0
84,83.0,-198.92253182457557,60.0
85,62.0,-256.1087931922,75.0
86,33.0,-69.59024460103794,245.0
87,40.0,-130.1596798053982,210.0
88,52.0,-70.80767184823262,85.0
89,63.0,-122.50673030570032,240.0
90,40.0,-14.844327437712792,325.0
91,80.0,-26.671555019003733,110.0
92,92.0,-81.10039272310709,90.0
93,54.0,-68.75783319518793,210.0
94,17.0,-77.8288043877592,30.0
95,32.0,-69.13526739560334,55.0
96,15.0,-168.29483436232448,65.0
97,146.0,-153.61395125059903,115.0
98,80.0,-112.77123906031092,135.0
99,18.0,-104.65076744825629,745.0
